TOKEN		OUTPUT			CORRECT
hær			hær (0)			här
abotum			abotum (0)			abbote
allum			allum (0)			alder
tha			þo (0.666667)			þa
abota			abota (0)			abbote
ganger			ganga (0.5)			ganga+in
tha			þo (0.666667)			þa
ser			ser (0)			sea
munka			munka (0)			munker
wæl klædda			wæl klædda (0)			välklädder
tha			þo (0.666667)			þa
stryker			stryker (0)			stryka
hættæ			hættæ (0)			hätta
høffdhe			høffdhe (0)			hovuþ
at			ägha (0.5)			at
ænne			ænne (0)			änne
skina			skinna (1)			skina
alt			alt (0)			alder
sidhen			sidhen (0)			siþan
abotæ			abotæ (0)			abbote
ther til			ther til (0)			þär til
komber			kumber (0.666667)			koma
koua			koua (0)			kovi
wæl			wæl (0)			väl
skoager			skoager (0)			skoa
badhæ			badhæ (0)			baþe
bozskom			bozskom (0)			botskor
adhrom			adhrom (0)			annar
skom			skoa (0.5)			skor
abote			abote (0)			abbote
ær			ær (0)			vara
klædder			klædder (0)			kläþa
wæl			wæl (0)			väl
haffuer			haffuer (0)			hava
skinkiortla			skinkiortla (0)			skinkiurtil
annan			annan (0)			annar
lambskinnum			lambskinnum (0)			lambskin
annan			annan (0)			annar
graskinnum			graskinnum (0)			graskin
haffuer			haffuer (0)			hava
fyræ			fyræ (0)			fiurir
scapplara			scapplara (0)			skaplare
fyra			fira (0.5)			fiurir
kuffla			kuffla (0)			kuvul
æn			æn (0)			än
til komber			til komber (0)			tilkoma
om sidher			om sidher (0)			um sidh
at			ägha (0.5)			at
bordh			bort (1)			borþ
lætz			lætz (0)			lata+fram
æn			æn (0)			än
giter			giter (0)			gita
talt			talt (0)			tälia
rætte			rætte (0)			rätter
tha			þo (0.666667)			þän
in komma			in komma (0)			inkoma
firi			firi (0)			for
abota			abota (0)			abbote
æn			æn (0)			än
abote			abote (0)			abbote
æter			æter (0)			äta
ekke			ekke (0)			äkke
thet			tea (1)			þän
som			sum (1)			som
fyreføt			fyreføt (0)			fyrafötter
ær			ær (0)			vara
æter			æter (0)			äta
gaas			gaas (0)			gas
høns			høns (0)			höns
ænder			ænder (0)			and
alskona			alskona (0)			alzkona
