TOKEN		OUTPUT			CORRECT
sigx			sighia (1)			sighia
aff			af (1)			af
skemptan			skämtan (1)			skämtan
mykla			mykil (1)			mykil
herra			härra (1)			härra
i			i (0)			i
kloster			kloster (0)			kloster
in			in (0)			in
han			han (1)			han
sina			sin (0.5)			sin
han			han (1)			han
aff			af (1)			af
sina			sin (0.5)			sin
hans			han (1)			han
ma			magha (1)			magha
om			um (1)			um
kloster			kloster (0)			kloster
ganger			ganga (0.5)			ganga
herra			härra (1)			härra
ater			ater (0)			ater
och			ok (1)			ok
fram			fram (0)			fram
han			han (1)			han
til			til (0)			til
sins			sin (1)			sin
medh			mäþ (1)			mäþ
och			ok (1)			ok
herra			härra (1)			härra
han			han (1)			han
twa			tver (1)			tver
aff			af (1)			af
och			ok (1)			ok
aff			af (1)			af
han			han (1)			han
och			ok (1)			ok
ther			þär (1)			þär
fram			fram (0)			fram
enghin			ängin (1)			ängin
tunga			tunga (1)			tunga
som			sum (1)			sum
herra			härra (1)			härra
herra			härra (1)			härra
han			han (1)			han
och			ok (1)			ok
och			ok (1)			ok
och			ok (1)			ok
han			han (1)			han
och			ok (1)			ok
fiska			fiska (0)			fiska
och			ok (1)			ok
lax			lax (0)			lax
och			ok (1)			ok
braxn			braxn (0)			braxn
och			ok (1)			ok
och			ok (1)			ok
och			ok (1)			ok
nio			nio (0)			nio
han			han (1)			han
tio			tio (0)			tio
och			ok (1)			ok
tio			tio (0)			tio
tio			tio (0)			tio
ma			magha (1)			magha
han			han (1)			han
ey			eigh (1)			eigh
tha			þo (0.666667)			þo
han			han (1)			han
alder			alder (0)			alder
moster			moster (0)			moster
han			han (1)			han
sla			sla (1)			sla
och			ok (1)			ok
ther			þär (1)			þär
aff			af (1)			af
och			ok (1)			ok
han			han (1)			han
sin			sin (0.6)			sin
och			ok (1)			ok
aff			af (1)			af
ma			magha (1)			magha
herra			härra (1)			härra
är			vara (0.5)			vara
in			in (0)			in
egh			äg (0.666667)			äg
fore			for (1)			for
herra			härra (1)			härra
egh			äg (0.666667)			äg
och			ok (1)			ok
och			ok (1)			ok
och			ok (1)			ok
och			ok (1)			ok
och			ok (1)			ok
herra			härra (1)			härra
egh			äg (0.666667)			äg
och			ok (1)			ok
egh			äg (0.666667)			äg
honum			han (1)			han
honum			han (1)			han
drikka			drikka (0)			drikka
in			in (0)			in
twa			tver (1)			tver
fore			for (1)			for
herra			härra (1)			härra
